TypForetag,Placeringstillgangar,ContentsCode,Tid,value
Life insurance companies,6.4 Investment funds,"Stock values, MSEK",2024K2,3009256
Life insurance companies,6.4.1 Swedish,"Stock values, MSEK",2024K1,2070775
Life insurance companies,6.4.1 Swedish,"Stock values, MSEK",2024K2,2108281
Life insurance companies,6.4.2 Foreign,"Stock values, MSEK",2024K1,854447
Life insurance companies,6.4.2 Foreign,"Stock values, MSEK",2024K2,900975
Life insurance companies,6.5   of which funds in unit linked insurances,"Stock values, MSEK",2024K1,2080988
Life insurance companies,6.5   of which funds in unit linked insurances,"Stock values, MSEK",2024K2,2128014
Life insurance companies,6.6   of which investment in interest funds,"Stock values, MSEK",2024K1,259189
Life insurance companies,6.6   of which investment in interest funds,"Stock values, MSEK",2024K2,264795
Life insurance companies,6.7 Options and other ownership shares,"Stock values, MSEK",2024K1,211480
Life insurance companies,6.7 Options and other ownership shares,"Stock values, MSEK",2024K2,214831
Life insurance companies,7. Loans,"Stock values, MSEK",2024K1,118051
Life insurance companies,7. Loans,"Stock values, MSEK",2024K2,118720
Life insurance companies,7.1 Issued in SEK,"Stock values, MSEK",2024K1,88727
Life insurance companies,7.1 Issued in SEK,"Stock values, MSEK",2024K2,88223
Life insurance companies,7.2 Issued in foreign currency,"Stock values, MSEK",2024K1,29324
Life insurance companies,7.2 Issued in foreign currency,"Stock values, MSEK",2024K2,30498
Life insurance companies,7.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,94919
Life insurance companies,7.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K2,94804
Life insurance companies,7.3.1 Government,"Stock values, MSEK",2024K1,0
Life insurance companies,7.3.1 Government,"Stock values, MSEK",2024K2,0
Life insurance companies,7.3.2 Municipalities and regions,"Stock values, MSEK",2024K1,0
Life insurance companies,7.3.2 Municipalities and regions,"Stock values, MSEK",2024K2,0
Life insurance companies,7.3.3 Banks (MFI),"Stock values, MSEK",2024K1,11010
Life insurance companies,7.3.3 Banks (MFI),"Stock values, MSEK",2024K2,8945
Life insurance companies,7.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K1,0
Life insurance companies,7.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K2,0
Life insurance companies,7.3.5 Other MFI,"Stock values, MSEK",2024K1,0
Life insurance companies,7.3.5 Other MFI,"Stock values, MSEK",2024K2,0
Life insurance companies,7.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K1,22125
Life insurance companies,7.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K2,22125
Life insurance companies,7.3.7 Non-financial enterprises,"Stock values, MSEK",2024K1,52162
Life insurance companies,7.3.7 Non-financial enterprises,"Stock values, MSEK",2024K2,53031
Life insurance companies,7.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K1,9622
Life insurance companies,7.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K2,10703
Life insurance companies,7.4 Issued by foreign borrowers,"Stock values, MSEK",2024K1,23133
Life insurance companies,7.4 Issued by foreign borrowers,"Stock values, MSEK",2024K2,23917
Life insurance companies,8. Land and buildings,"Stock values, MSEK",2024K1,58807
Life insurance companies,8. Land and buildings,"Stock values, MSEK",2024K2,56588
Life insurance companies,8.1 Swedish,"Stock values, MSEK",2024K1,58807
Life insurance companies,8.1 Swedish,"Stock values, MSEK",2024K2,56588
Life insurance companies,8.2 Foreign,"Stock values, MSEK",2024K1,0
Life insurance companies,8.2 Foreign,"Stock values, MSEK",2024K2,0
Life insurance companies,9. Derivatives,"Stock values, MSEK",2024K1,16253
Life insurance companies,9. Derivatives,"Stock values, MSEK",2024K2,22813
Life insurance companies,10. Repurchase agreements,"Stock values, MSEK",2024K1,28627
Life insurance companies,10. Repurchase agreements,"Stock values, MSEK",2024K2,17689
Life insurance companies,11. Other financial investments,"Stock values, MSEK",2024K1,44821
Life insurance companies,11. Other financial investments,"Stock values, MSEK",2024K2,17390
Life insurance companies,12. Total capital investments,"Stock values, MSEK",2024K1,6808399
Life insurance companies,12. Total capital investments,"Stock values, MSEK",2024K2,6907780
